NAME,N_DEATH_ILL,TTL_MDCR_SPND,MDCR_SPND_INP,MDCR_SPND_OUTP,MDCR_SPND_LTC,MDCR_SPND_HOME,MDCR_SPND_HSPC,MDCR_SPND_AMBLNC,MDCR_SPND_EQP,MDCR_SPND_OTHER,TTL_PARTB,PARTB_EVAL_MGMT,PARTB_PROCS,PARTB_IMAG,PARTB_TESTS,PARTB_OTHER,HOSP_REIMB_P_DCD,HOSP_DAYS_P_DCD,REIMB_P_PTNT_DAY,HOSP_REIMB_RATIO,HOSP_DAY_RATIO,REIMB_P_DAY_RATIO,MD_PYMT_P_DCD,MD_VISIT_P_DCD,PYMT_P_MD_VISIT,MD_VISIT_PYMT_RATIO,MD_VISIT_RATIO,PYMT_P_VISIT_RATIO,HOSP_BEDS,TTL_IC_BEDS,HI_IC_BEDS,INT_IC_BEDS,MED_SURG_BEDS,SNF_BEDS,TOTAL_FTE,MS_FTE,PC_FTE,MS_PC_RATIO,RNS_REQ,HOSP_DAYS_P_DCD2,TTL_IC_DAYS_P_DCD,HI_IC_DAYS_P_DCD,INT_IC_DAYS_P_DCD,MED_SURG_DAYS_P_DCD,SNF_DAYS_P_DCD,TTL_MD_VISIT_P_DCD,MS_VISIT_P_DCD,PC_VISIT_P_DCD,MS_PC_RATIO_P_DCD,HHA_VISIT_P_DCD,PCT_DTHS_HOSP,PCT_DTHS_W_ICU,PCT_DTHS_HSPC,HSPC_DAYS_P_DCD,PCT_PTNT_10_MD,N_MD_P_DCD,TTL_COPAY_P_DCD,MD_COPAY_P_DCD,EQP_COPAY_P_DCD,QUAL_SCORE,AMI_SCORE,CHF_SCORE,PNEUM_SCORE
Abilene TX,2120,39677,19979,6410,6331,2792,1909,546,1510,200,7326,2717,1702,665,444,1798,17502,19.9,881,0.79,1.01,0.78,2891,54.4,53,0.79,0.89,0.89,54.4,13.2,5.8,7.4,41.2,56.4,19,6.7,8.7,0.77,47,11.8,3.1,1.6,1.5,8.6,10.8,27,10.8,14.7,0.73,10,30.9,16.1,33.3,11.9,14.7,5.6,2308,1911,397,79.2,81.8,74.2,78
Akron OH,3510,44895,24222,6394,8126,1759,2196,980,1016,201,8161,3822,1604,644,421,1670,20966,18.2,1155,0.94,0.93,1.02,3823,61.7,62,1.04,1.01,1.04,49.7,11.9,9.3,2.6,37.8,62.1,23,10,8.8,1.14,44.9,10.6,3,2.5,0.5,7.5,11.5,31.1,15.4,13.3,1.16,5.3,25.3,17,40.3,11.7,35.5,8.5,2472,2194,279,89.1,95.7,90.8,76.9
Alameda County CA,2858,59140,35651,7510,9286,2133,1987,1096,1244,231,10007,4428,2080,835,377,2287,32049,19.7,1625,1.44,1.01,1.43,4481,63.9,70,1.22,1.04,1.17,54,15,7.8,7.1,39.1,53.5,23.6,9.6,10.2,0.94,48.2,11.8,3.6,2,1.6,8.2,9.9,31.2,15.3,14.1,1.09,4,34.2,20.8,25,8.6,32.5,8,2873,2546,327,87.1,93.5,84.6,77.9
Albany NY,10327,40775,22472,6992,5181,1680,2310,801,1116,222,9161,3676,1706,847,485,2447,19474,21.5,908,0.88,1.1,0.8,3699,61.2,60,1.01,1,1.01,58.8,9,7.6,1.4,49.8,52.5,21.1,8.4,8.6,0.97,50.1,12.7,2.3,2,0.3,10.4,9.4,30.2,14.4,13.6,1.06,5.7,31.4,15.3,30.3,11.2,37.3,8.9,2697,2408,289,87.8,94.2,85.4,78.8
Albany GA,1132,39735,23741,6039,3308,1876,2652,548,1381,189,5946,2800,1504,482,388,773,21010,19.6,1073,0.94,1,0.94,2936,56.2,52,0.8,0.92,0.87,53.7,9.5,9.2,0.3,44.2,31.2,19.4,7.9,7.5,1.05,47.2,11.5,2.6,2.5,0.1,9,6.3,26.8,12.6,12.5,1.01,6.6,35.1,18.8,35.6,18.6,24.8,6.8,2088,1680,408,81.4,86.1,84.3,71.8
Albuquerque NM,4601,37608,19045,6241,4738,2077,3247,578,1442,240,6309,2370,1507,543,360,1528,17125,14.3,1199,0.77,0.73,1.06,2422,40.4,60,0.66,0.66,1,39.1,9.5,5.3,4.2,29.6,30.9,15.4,4.7,7.7,0.61,34.4,8.4,2.3,1.4,0.9,6.1,5.6,18.4,6.4,10.6,0.6,5.5,27.1,15.4,34.8,16.4,20.1,6.1,2075,1696,379,84.8,91.4,83.5,74.6
Alexandria LA,1695,51216,25445,6649,9263,4322,1776,1477,2053,231,8401,3134,1634,721,394,2518,22494,23.1,974,1.01,1.18,0.86,3164,62.4,51,0.86,1.02,0.85,63.3,9.4,8.1,1.3,53.9,45.4,20.3,7.2,8.6,0.84,53.8,13.3,2.5,2.3,0.2,10.8,8.2,31.8,13.8,14.9,0.93,14.7,36.4,16.3,27.1,13.2,27.2,7.2,2922,2352,570,87.3,91.4,86,81.2
Allentown PA,6700,47157,26244,7153,7737,1857,1935,761,1098,371,9720,4133,1971,908,536,2171,22567,21.1,1071,1.01,1.08,0.94,4139,72.3,57,1.13,1.18,0.96,57.7,14.4,7,7.3,43.4,60.7,24.1,10.1,9.2,1.09,50.4,12.3,3.5,1.9,1.6,8.8,11.4,36.4,18.7,14.2,1.32,5.6,29.9,18.2,30,10.3,42.5,9.7,2844,2557,287,87.7,91.5,85.8,82.7
Altoona PA,1666,41063,21148,7010,7160,2241,1357,897,1119,132,7882,3120,1594,587,335,2246,18519,18.2,1019,0.83,0.93,0.9,3153,57.5,55,0.86,0.94,0.92,49.8,10.6,7.5,3.1,39.2,49.9,20.1,6.7,9.1,0.74,43.7,10.7,2.6,2,0.6,8.1,9.4,27.4,10.8,14.2,0.76,7.3,33.3,20.1,21.4,8.9,26.4,7,2411,2110,301,84.5,88.7,79.1,81.3
Amarillo TX,2445,42301,21275,7206,5402,2225,3904,272,1685,334,7738,2588,1915,827,468,1941,18898,16.3,1162,0.85,0.83,1.02,2696,50.5,53,0.74,0.82,0.89,44.6,9.6,9.1,0.5,34.9,32.1,17.6,6.5,6.9,0.94,40.4,9.1,2.3,2.2,0.1,6.8,5.9,23.8,11.1,10.9,1.02,7.8,19.6,10.7,56.1,21.3,17.5,5.8,2495,2047,448,85.7,94.4,80.5,74.8
